"CBLS County-level Summary Data for GA, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
297,Walton County,270,4.40528634361234%,0,0,22500,2229,14.0000000596046%,6129
299,Ware County,207,7.5%,0,1,15831,2899,30.0000011920929%,2760
301,Warren County,42,8.04597701149425%,0,0,2767,516,31.0000002384186%,522
303,Washington County,122,7.64411027568922%,1,0,8327,1433,33.0000013113022%,1596
305,Wayne County,421,19.9337121212121%,0,0,10827,1265,21.9999998807907%,2112
307,Webster County,24,12.7659574468085%,0,0,1115,248,28.0000001192093%,188
309,Wheeler County,56,12.8440366972477%,0,0,2447,415,34.0000003576279%,436
311,White County,147,9.35709739019733%,1,0,9454,617,15.0000005960464%,1571
313,Whitfield County,1472,17.1162790697674%,4,1,30722,2849,12.9999995231628%,8600
315,Wilcox County,81,12.6959247648903%,1,1,3320,674,31.0000002384186%,638
317,Wilkes County,126,16.5354330708661%,0,0,5022,978,21.9999998807907%,762
319,Wilkinson County,75,8.38926174496644%,0,0,4449,602,27.0000010728836%,894
321,Worth County,180,9.76138828633406%,0,0,9086,1067,21.9999998807907%,1844
"* Based on most recent five years of data, 2001-2005",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
Georgia Total Confirmed Cases 2005,,215,,,,,,,
