"CBLS County-level Summary Data for GA, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
243,Randolph County,29,5.00000007450581%,0,0%,0,3402,862,37.0000004768372%,585
245,Richmond County,818,4.50000017881393%,3,0.366748166259169%,3,82312,11553,28.999999165535%,18196
247,Rockdale County,563,7.80000016093254%,2,0.355239786856128%,2,25082,1068,9.00000035762787%,7209
249,Schley County,n,,n,#VALUE!,n,1612,218,27.0000010728836%,393
251,Screven County,166,14.3999993801117%,0,0%,0,6853,989,18.9999997615814%,1154
253,Seminole County,75,10.3000000119209%,0,0%,0,4742,564,37.0000004768372%,726
255,Spalding County,446,7.50000029802322%,4,0.896860986547085%,0,23001,3391,23.0000004172325%,5984
257,Stephens County,409,20.0000002980232%,0,0%,0,11652,1367,21.9999998807907%,2043
259,Stewart County,17,5.20000010728836%,2,11.7647058823529%,0,2354,527,31.9999992847443%,325
261,Sumter County,77,2.60000005364418%,0,0%,1,13700,2193,37.9999995231628%,2938
263,Talbot County,24,5.70000000298023%,0,0%,0,2871,432,40.0000005960465%,422
265,Taliaferro County,15,12.2000001370907%,0,0%,0,1085,340,18.9999997615814%,123
267,Tattnall County,131,6.40000030398369%,0,0%,1,8578,1136,31.9999992847443%,2051
269,Taylor County,34,5.00000007450581%,0,0%,0,3978,581,34.0000003576279%,675
271,Telfair County,119,12.8000006079674%,0,0%,1,5083,787,31.0000002384186%,932
273,Terrell County,69,7.90000036358833%,1,1.44927536231884%,0,4460,1027,43.9999997615814%,874
275,Thomas County,672,17.1000003814697%,1,0.148809523809524%,3,18285,3137,23.9999994635582%,3919
277,Tift County,527,12.8999993205071%,0,0%,0,15411,1968,31.0000002384186%,4085
279,Toombs County,98,3.50000001490116%,0,0%,1,11371,1258,40.0000005960465%,2764
281,Towns County,85,13.7999996542931%,0,0%,0,6282,380,10.9999999403954%,615
283,Treutlen County,72,12.9999995231628%,0,0%,0,2865,440,40.9999996423721%,554
285,Troup County,728,12.5%,1,0.137362637362637%,2,23824,4873,23.0000004172325%,5830
287,Turner County,99,11.4000000059605%,0,0%,0,3916,676,40.9999996423721%,870
289,Twiggs County,72,10.0000001490116%,0,0%,0,4291,517,25.9999990463257%,722
291,Union County,191,14.5999997854233%,0,0%,0,10001,572,14.0000000596046%,1304
293,Upson County,109,5.29999993741512%,1,0.91743119266055%,0,11616,2598,20.0000002980232%,2075
295,Walker County,627,12.8999993205071%,0,0%,0,25577,4874,18.9999997615814%,4850
297,Walton County,503,6.40000030398369%,0,0%,0,22500,2229,14.0000000596046%,7823
299,Ware County,106,3.50000001490116%,1,0.943396226415094%,0,15831,2899,30.0000011920929%,3072
301,Warren County,53,11.5000002086163%,0,0%,0,2767,516,31.0000002384186%,460
303,Washington County,234,14.4999995827675%,1,0.427350427350427%,0,8327,1433,33.0000013113022%,1612
305,Wayne County,476,18.7000006437302%,0,0%,0,10827,1265,21.9999998807907%,2547
307,Webster County,n,,n,#VALUE!,n,1115,248,28.0000001192093%,143
309,Wheeler County,48,10.4999996721745%,0,0%,0,2447,415,34.0000003576279%,457
311,White County,161,8.39999988675118%,0,0%,0,9454,617,15.0000005960464%,1917
313,Whitfield County,1633,15.0000005960464%,0,0%,2,30722,2849,12.9999995231628%,10865
315,Wilcox County,55,9.6000000834465%,0,0%,0,3320,674,31.0000002384186%,570
317,Wilkes County,75,10.1999998092651%,0,0%,0,5022,978,21.9999998807907%,735
319,Wilkinson County,107,11.2999998033047%,2,1.86915887850467%,0,4449,602,27.0000010728836%,943
321,Worth County,155,10.1999998092651%,1,0.645161290322581%,0,9086,1067,21.9999998807907%,1515
999,Unknown,5983,.,15,0.250710345980277%,1,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2004-2008",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,Georgia 2008 Confirmed Cases,,154,,,,,,,
