"CBLS County-level Summary Data for TX, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
119,Delta,31,8.88252148997135%,,0%,2410,692,20.0000002980232%,349
121,Denton,2960,4.78360645140438%,6,0.202702702702703%,168069,5059,7.00000002980232%,61878
123,DeWitt,113,7.57880617035547%,,0%,8756,2672,31.9999992847443%,1491
125,Dickens,2,1.35135135135135%,1,,1368,577,34.0000003576279%,148
127,Dimmit,209,20.1154956689124%,,0%,4112,719,43.9999997615814%,1039
129,Donley,8,3.82775119617225%,,0%,2378,792,34.9999994039536%,209
131,Duval,109,9.57820738137083%,,0%,5543,1063,38.9999985694885%,1138
133,Eastland,51,3.57894736842105%,,0%,9547,3502,28.999999165535%,1425
135,Ector,1328,8.66671017424786%,,0%,49500,4241,27.0000010728836%,15323
137,Edwards,132,85.1612903225806%,,0%,1217,324,47.9999989271164%,155
139,Ellis,928,6.40839721013742%,1,0.107758620689655%,39071,5145,14.0000000596046%,14481
141,El Paso,8777,10.0404960190354%,6,0.0683604876381452%,224447,23327,31.9999992847443%,87416
143,Erath,270,8.90207715133531%,,0%,14422,2412,15.9999996423721%,3033
145,Falls,111,8.85873902633679%,3,2.7027027027027%,7658,2215,28.0000001192093%,1253
147,Fannin,258,10.0624024960998%,2,0.775193798449612%,12887,3031,23.0000004172325%,2564
149,Fayette,122,7.60598503740648%,,0%,11113,3577,12.9999995231628%,1604
151,Fisher,15,6.55021834061135%,,0%,2277,894,30.0000011920929%,229
153,Floyd,57,8.97637795275591%,,0%,3221,956,33.0000013113022%,635
155,Foard,2,2.73972602739726%,,,850,400,10.9999999403954%,73
157,Fort Bend,2285,4.52824953924813%,4,0.175054704595186%,115991,3150,9.00000035762787%,50461
159,Franklin,54,6.49038461538462%,,0%,5132,631,28.0000001192093%,832
161,Freestone,73,4.81530343007916%,,0%,8138,1377,15.9999996423721%,1516
163,Frio,219,14.4745538664904%,,0%,5660,819,40.0000005960465%,1513
165,Gaines,97,4.98202362609142%,,0%,5410,566,31.9999992847443%,1947
167,Galveston,3222,12.5633627076347%,8,0.248292985723153%,111733,16077,18.9999997615814%,25646
169,Garza,25,6.41025641025641%,,0%,1928,490,37.0000004768372%,390
171,Gillespie,131,8.02696078431373%,,0%,9902,2405,15.9999996423721%,1632
173,Glasscock,5,5.61797752808989%,,,660,82,18.9999997615814%,89
175,Goliad,39,8.24524312896406%,,0%,3426,813,30.0000011920929%,473
177,Gonzales,243,11.7504835589942%,1,0.411522633744856%,8194,1796,25%,2068
179,Gray,226,10.7824427480916%,,0%,10567,3251,20.9999993443489%,2096
181,Grayson,881,8.73834556635588%,,0%,48315,8709,15.9999996423721%,10082
183,Gregg,1191,10.0269405623842%,1,0.0839630562552477%,46349,5080,23.0000004172325%,11878
185,Grimes,159,7.86350148367952%,3,1.88679245283019%,9490,1123,20.9999993443489%,2022
187,Guadalupe,771,7.57516211436432%,1,0.12970168612192%,33585,3399,12.9999995231628%,10178
